"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3184:25:00","21.083","21.093","21.170","20.999"
"3184:26:00","21.085","21.094","21.172","21.001"
"3184:27:00","21.086","21.094","21.174","21.000"
"3184:28:00","21.085","21.095","21.175","20.999"
"3184:29:00","21.088","21.096","21.176","21.002"
"3184:30:00","21.087","21.096","21.176","21.003"
"3184:31:00","21.087","21.097","21.176","21.005"
"3184:32:00","21.087","21.095","21.178","21.003"
"3184:33:00","21.087","21.097","21.177","21.000"
"3184:34:00","21.088","21.096","21.174","21.000"
"3184:35:00","21.087","21.098","21.178","21.002"
"3184:36:00","21.089","21.098","21.178","21.004"
"3184:37:00","21.090","21.100","21.178","21.005"
"3184:38:00","21.091","21.101","21.181","21.006"
"3184:39:00","21.093","21.102","21.183","21.008"
"3184:40:00","21.092","21.101","21.185","21.006"
"3184:41:00","21.095","21.102","21.184","21.009"
"3184:42:00","21.094","21.102","21.186","21.008"
"3184:43:00","21.094","21.103","21.185","21.011"
"3184:44:00","21.093","21.103","21.186","21.012"
"3184:45:00","21.094","21.101","21.186","21.012"
"3184:45:00","21.094","21.101","21.186","21.012"
"3184:46:00","21.094","21.102","21.187","21.013"
"3184:47:00","21.095","21.101","21.188","21.015"
"3184:48:00","21.096","21.104","21.189","21.014"
"3184:49:00","21.093","21.104","21.190","21.014"
"3184:50:00","21.096","21.104","21.191","21.014"
"3184:51:00","21.093","21.105","21.191","21.015"
"3184:52:00","21.094","21.106","21.193","21.013"
"3184:53:00","21.095","21.107","21.192","21.012"
"3184:54:00","21.095","21.106","21.191","21.011"
"3184:55:00","21.096","21.107","21.191","21.011"
"3184:56:00","21.095","21.107","21.192","21.013"
"3184:57:00","21.094","21.107","21.194","21.015"
"3184:58:00","21.096","21.109","21.194","21.017"
"3184:59:00","21.098","21.108","21.193","21.016"
"3185:00:00","21.098","21.108","21.192","21.016"
"3185:01:00","21.098","21.110","21.192","21.015"
"3185:02:00","21.098","21.109","21.192","21.017"
"3185:03:00","21.099","21.109","21.195","21.017"
"3185:04:00","21.097","21.109","21.194","21.018"
"3185:05:00","21.100","21.109","21.196","21.020"
"3185:05:00","21.100","21.109","21.196","21.020"
"3185:06:00","21.101","21.110","21.197","21.020"
"3185:07:00","21.102","21.110","21.197","21.022"
